ID	Lake	Temp	PAR	O2.sat	O2.conc	Chla	PE	PC	Spec.cond
170	Gjersjøen	19.65	46.53	49.58	4.52	10.16	0.68	5.16	237.61
180	Øgderen	18.61	21.27	51.31	4.77	14.05	1.26	10.51	66.37
189	Krøderen	15.44	32.61	53.27	5.3	8.55	0.21	2.53	25.65
191	Rødbyvatnet	18.55	18.94	43.8	4.05	14.8	0.69	6.69	93.7
194	Sperillen								
214	Gjesåssjøen	19.63	50.24	47.77	4.31	14.8	0.67	9.13	52.22
233	Osensjøen	14.13	26.78	51.59	5.27	10.87	0.25	4.92	20.7
236	Rokossjøen	17.8	111.42	42.33	3.95	13.52	0.35	6.17	35.71
242	Sør Mesna	15.6	19.62	48.82	4.83	13.54	0.32	5.15	28.39
252	Vermundsjøen	15.34	7.68	38.19	3.71	11.63	0.24	8.28	26.1
258	Gjønvatnet	14.16	94.87	57.02	5.86	4.27	0.13	0.26	19.37
261	Kalandsvatnet	17.2	66.1	56.53	5.45	12.36	0.39	1.82	62.33
264	Myrkdalsvatnet	12.16	62.23	54.48	5.84	7.38	0.18	1.06	3.22
277	Engsetdalsvatnet	18.24	143.24	58.43	5.49	7.78	1.55	1.07	36.31
285	Rotevatnet	16.15	46.69	54.51	5.37	7.02	0.17	1.54	28.77
288	Vatnevatnet	14.44	83.78	56.32	5.71	8.01	0.19	0.64	25.08
326	Einavatnet	16.91	11.37	52.75	5.1	10.88	0.25	1.96	93.56
328	Randsfjorden	16.41	181.45	56.26	5.47	7.99	0.22	2.29	40.88
339	Ringsjøen	14.81	18.36	45.87	4.64	10.13	0.25	5.85	68.58
340	Sæbufjorden	15.71	62.13	51.89	5.14	5.78	0.16	1.43	36.54
344	Strondafjorden	15.97	107.08	54.08	5.33	6.73	0.18	1.14	34.29
345	Trevatna	15.07	39.19	40.26	3.99	11.82	0.25	5.73	26.79
349	Bogstadvannet	14.74	17.12	42.95	4.31	10.85	0.25	5.89	40.98
353	Aspern	19.4	142	55.25	5.05	12.22	0.36	6.2	62.84
361	Rødenessjøen	18.95	14.06	53.81	4.99	11.69	0.49	8.43	62.43
363	Rømsjøen	18.8	85.75	56.24	5.26	10.2	0.25	2.06	38.19
374	Edlandsvatnet	16.61	98.35	55.57	5.39	14.8	0.39	1.78	61.18
378	Hetlandsvatn	17.27	155.6	58.04	5.59	13.46	0.33	1.15	77.31
380	Lutsivatn	17.64	555.96	56.38	5.38	13.78	0.52	2.99	87.9
394	Vatsvatnet	16.41	27.57	61.64	6.03	9.25	3.25	12.97	52.39
395	Vostervatnet	17.87	153.97	57.21	5.41	8.72	0.28	1.45	64.68
404	Jølstravatnet	9.93	184.33	52.57	5.94	4.12	0.14	0.55	16.4
405	Oppstrynvatnet	12.6	226.96	57.45	6.11	4.52	0.18	4.79	15.38
433	Bandak	14.56	131.24	56.87	5.77	8.89	0.18	1.13	17.9
436	Grungevatnet	14.71	56.26	51.55	5.23	6.89	0.16	1.17	18.1
453	Vinjevatn	12.84	89.36	51.67	5.44	5.29	0.14	0.88	16.13
481	Åsrumvatnet	17.47	67.62	49.94	4.77	11.31	0.71	10.78	81.18
482	Bergsvannet	18.85	116.74	47.87	4.41	11.62	2.63	13.55	104.55
