"ID" "Cond" "pH" "TIC" "TOC" "TN" "TP" "NO3" "SiO2" "PO4"
"1" 170 22.6 7.685 8.085 6.898 1.28 9.8 834.9 3563 3
"2" 180 5.82 7.225 2.668 6.944 0.3335 19.2 7.5 1125 8
"3" 189 1.98 6.695 0.8136 4.395 0.2501 3.55 72.6 2499 1
"4" 191 8.48 7.535 3.092 6.652 0.9699 9.35 593.85 2063 3
"5" 194 2.08 6.87 NA 3.5 0.305 4 93 2353 1
"6" 214 4.52 7.07 1.732 9.613 0.3851 15.1 13.45 2924 8
"7" 233 1.7 6.555 0.4351 7.6885 0.2842 3.05 68.05 3721 1
"8" 236 2.8 6.71 1.045 11.81 0.3288 8.25 8.2 3447 2
"9" 242 2.25 6.705 0.793 7.514 0.2543 6.7 4.3 2622 2
"10" 252 1.98 6.285 0.1422 11.945 0.3595 9.25 26.55 5692 2
"11" 258 1.67 6.44 0.2734 1.3 0.24 2 135 538 -1
"12" 261 5.64 6.895 0.91 2.854 0.3494 3.8 168.3 1003 3
"13" 264 0.67 6.36 0.2662 0.954 0.08657 1 7.15 551 -1
"14" 277 3.05 6.87 0.7215 2.6555 0.2017 1.15 48.1 1185 1
"15" 285 2.33 6.74 0.7519 3.427 0.1704 2.55 31.45 2207 -1
"16" 288 1.98 6.66 0.5545 1.3135 0.1668 4.7 65.65 1440 2
"17" 326 8.7 7.425 5.004 5.5715 1.089 3 753.55 1790 -1
"18" 328 3.55 7.13 2.042 4.514 0.376 2.65 193.7 3134 -1
"19" 339 6.03 7.19 4.013 8.0215 0.5569 5.55 223.45 3072 2
"20" 340 3.01 7.08 1.703 3.6585 0.3563 3.1 175.65 2678 1
"21" 344 2.9 7.215 1.606 2.8325 0.3505 2 178.4 2163 1
"22" 345 2.06 6.465 0.6803 9.6795 0.3506 4.3 82.3 3021 2
"23" 349 3.31 6.94 1.762 7.026 0.3869 6.6 124.2 3850 2
"24" 353 5.56 7.06 1.438 8.539 0.8267 9.95 494.45 2840 4
"25" 361 5.49 7.04 1.558 9.1145 0.9793 12.2 575.95 3284 5
"26" 363 3.18 6.83 0.6783 6.6945 0.3952 1.2 170.95 3349 -1
"27" 374 5.28 6.935 1.184 2.6305 0.7918 3.85 547.95 750 3
"28" 378 6.99 7.19 1.942 2.3695 1.012 2.35 781.8 313 1
"29" 380 8.1 7.265 2.239 3.6215 0.9617 6 674.25 700 3
"30" 394 4.68 7.53 1.358 4.0915 0.4789 18.9 190.45 659 7
"31" 395 5.87 6.965 1.654 3.122 0.6077 3.6 327.9 224 3
"32" 404 1.41 6.33 0.164 0.6647 0.2853 0.5 121 849 -1
"33" 405 1.39 6.56 0.3718 0.3441 0.1142 1.7 61.35 1409 1
"34" 433 1.53 6.79 0.7468 2.588 0.1948 1.2 67.95 1757 -1
"35" 436 1.44 6.745 0.6554 2.542 0.152 1.55 17.2 1787 -1
"36" 453 1.31 6.68 0.5226 3.49 0.1655 1.05 43.25 1733 -1
"37" 481 7.4 7.07 2.841 7.1105 1.118 20.2 774.2 5010 8
"38" 482 9.55 8.875 5.045 7.0695 0.3692 17.85 15.2 5468 4
"39" 486 9.91 7.225 4.215 6.576 1.526 27.45 1153.35 5281 16
"40" 487 7.12 6.915 1.087 5.0125 0.7408 2 494.05 3955 1
"41" 498 5.4 7.1 1.618 6.2165 0.2535 3 1.85 2924 1
"42" 519 12.2 7.995 9.187 6.3915 0.3459 4.9 0 234 1
"43" 2252 2.23 6.635 0.7731 11.175 0.2817 4.55 7.65 5559 -1
"44" 2268 5.56 7.59 4.651 4.114 0.2119 2.45 24.2 2679 -1
"45" 2312 5.32 7.02 1.198 8.42 0.8249 7.45 483.35 2926 3
"46" 2374 10.7 7.815 5.076 8.8315 0.4285 11.45 12.2 419 3
"47" 2678 4.98 7.205 1.921 7.619 0.3663 2.35 73.1 2951 -1
"48" 2870 3.71 7.195 1.327 4.859 0.2454 6 1.15 1029 2
"49" 2872 4.49 6.97 1.028 5.253 0.5139 1.9 277.2 2933 -1
"50" 2875 3.11 7.02 1.165 7.6015 0.222 5.85 0.85 4037 2
"51" 2878 2.22 7.005 1.143 7.365 0.2159 3.2 22.2 3163 2
"52" 2887 1.78 6.88 0.7714 6.525 0.2106 4.55 11.35 3047 2
