"ID" "Lake.name" "Date" "Start.time" "End.time" "Station.depth" "Zooplankton.Depth" "Secchi.depth" "Latitude" "Longitude"
"1" 3017 "Sør-Ælgen" "04.08.2011" "09:45" "10:40" 32 19 2.8 59.7243166666667 14.6065
"2" 3025 "Halvarsnoren" "04.08.2011" "10:53" "11:32" 26 19 2.5 59.6317666666667 14.5964333333333
"3" 3029 "Ørlingen" "04.08.2011" "12:50" "13:32" 8 6.5 2 59.8790166666667 14.4199833333333
"4" 3031 "Saxen" "04.08.2011" "11:50" "12:23" 14 12.5 3.5 59.77375 14.40965
"5" 3201 "Milsjøn" "03.08.2011" "13:40" "14:19" 18 16.5 2.05 60.1946333333333 14.00855
"6" 3027 "Nætsjøn" "03.08.2011" "15:40" "16:30" 20 14 3.6 59.8913 14.4808833333333
"7" 3019 "Møckeln" "03.08.2011" "09:48" "10:28" 22 19 1.8 59.3038666666667 14.5383166666667
"8" 2899 "Jangen" "03.08.2011" "12:25" "13:05" 8 6.5 2.2 60.1462833333333 13.2715333333333
"9" 2875 "Næsræmmen" "03.08.2011" "14:40" "15:16" 9 8 2.4 60.0338666666667 14.1373833333333
"10" 2870 "Visten" "03.08.2011" "11:05" "11:50" 10 8.5 4.05 59.6298666666667 13.3967666666667
"11" 5000 "Forssjøn" "02.08.2011" "10:00" "10:50" 14 12.5 1.9 58.9535 16.2635333333333
"12" 2374 "Frøsjøn" "02.08.2011" "11:33" "12:19" 35 19 2.5 59.092 17.2983333333333
"13" 3165 "Bæsingen" "02.08.2011" "17:15" "17:52" 10.5 9.5 1.9 60.1606166666667 16.38945
"14" 3106 "Långbjørken" "02.08.2011" "15:55" "16:43" 4 3.5 2 59.7679666666667 15.9521333333333
"15" 519 "Tærnan" "02.08.2011" "13:05" "13:55" 14 12 6 59.5911166666667 18.52145
"16" 3167 "Runn" "01.08.2011" "17:05" "17:47" 8 8 2.1 60.5309333333333 15.6727166666667
"17" 3384 "Hinsen" "01.08.2011" "16:10" "16:50" 9 8 3.5 60.6821166666667 16.0742833333333
"18" 3397 "Storsjøn" "01.08.2011" "13:37" "14:17" 9 7.5 5 61.65385 15.7592333333333
"19" 3516 "Holmsjøn" "01.08.2011" "11:51" "" 8 6.5 3 62.4102666666667 15.3132166666667
"20" 3541 "Stornaggen" "01.08.2011" "10:44" "11:24" 7 6.5 2.5 62.2666 15.9710166666667
"21" 3399 "Grycken" "31.07.2011" "16:55" "17:35" 9 8 3 61.5760166666667 15.4244833333333
"22" 3160 "Skattungen" "31.07.2011" "15:39" "16:24" 17.5 13 2 61.1940833333333 14.94515
"23" 3189 "Dragsjøn" "31.07.2011" "13:27" "14:09" 3.5 2.5 1.1 60.99265 13.5987166666667
