ID	Lake	Date	Time	Latitude	Longitude	Altitude	Area.km2	NVE.ID	NVE.REGINE	SMHI.ID	EU_CD	VDRID
170	Gjersjøen	08.08.2011	14:00	59.7897	10.77485	40	2.64	297	005.4B			
180	Øgderen	29.07.2011	16:38	59.71388	11.41303	133	12.66	327	001.GC			
189	Krøderen	28.07.2011	16:20	60.13485	9.7586	133	43.91	521	012.CB1			
191	Rødbyvatnet	09.08.2011	15:00	59.58175	10.48715	118	1.16	309	010.3B			
194	Sperillen	28.07.2011	15:15	60.50398333	10.05836667	150	37.28	514	012.G1			
214	Gjesåssjøen	30.07.2011	11:26	60.68167	11.99235	176	3.98	239	002.H1AB			
233	Osensjøen	27.07.2011	16:50	61.17583	11.88767	438	43.64	162	002.JBB11			
236	Rokossjøen	30.07.2011	13:10	60.78693	11.44073	215	3.77	253	002.DC3CB			
242	Sør Mesna	28.07.2011	09:45	61.0764	10.80002	522	6.93	198	002.DD5D			
252	Vermundsjøen	30.07.2011	15:32	60.69507	12.38702	215	3.34	182	002.GAB0			
258	Gjønvatnet	22.07.2011	10:50	60.26967	5.84095	40	2.89	2044	053.C2B			
261	Kalandsvatnet	22.07.2011	14:30	60.27088	5.40217	53	3.37	2057	056.2B			
264	Myrkdalsvatnet	22.07.2011	13:00	60.81172	6.47093	229	1.56	2091	062.H3			
277	Engsetdalsvatnet	20.07.2011	11:49	62.53333	6.63278	43	4.40	1983	101.6B			
285	Rotevatnet	23.07.2011	13:40	62.14053	6.11847	47	1.40	1941	094.6B			
288	Vatnevatnet	20.07.2011	16:56	62.15305	6.22862	90	2.05	1945	095.D			
326	Einavatnet	10.08.2011	10:00	60.53813	10.653	398	13.74	143	002.DCD11			
328	Randsfjorden	28.07.2011	11:55	60.72303	10.26765	135	140.09	523	012.EB10			
339	Ringsjøen	28.07.2011	10:55	60.8824	10.35465	378	1.22	197	002.DD2C			
340	Sæbufjorden	16.08.2011	12:40	61.01255	9.21507	379	1.53	576	012.LA3			
344	Strondafjorden	16.08.2011	14:15	60.97753	9.24863	355	13.36	515	012.L10			
345	Trevatna	28.07.2011	14:05	60.63883	10.43533	384	4.80	606	012.EC5B			
349	Bogstadvannet	11.08.2011	10:25	59.97052	10.61845	145	1.09	5252	007.A0			
353	Aspern	29.07.2011	11:53	59.14713	11.68437	106	6.59	318	001.C31			
361	Rødenessjøen	29.07.2011	14:20	59.53198	11.62597	118	15.95	323	001.F11			
363	Rømsjøen	29.07.2011	15:32	59.70107	11.8438	138	13.66	373	314.B			
374	Edlandsvatnet	21.07.2011	11:08	58.76263	5.8705	104	2.11	1546	028.C1			
378	Hetlandsvatn	21.07.2011	15:23	59.17518	6.10917	48	2.06	1859	035.1B			
380	Lutsivatn	21.07.2011	12:45	58.86005	5.84783	25	2.83	65803	029.2B			
394	Vatsvatnet	21.07.2011	17:18	59.52667	5.70417	15	2.17	2036	038.5B			
