Lake	Station	Sample_date	rubin_kode	RebeccaID	Kingdom	Phylum	Class	Order	Family	Genus	Taxon	Number	faktor	spesvolume (µm3)	bio_volume (mm3 m-3)	bio_volume (mm3 l-1)	Comments
Gjersjøen	170	08.08.2011	UBESTFF1	R2684							Heterotrophic, flagellated	22	4087	100	8.9914	0.0089914	
Gjersjøen	170	08.08.2011	MY-ALGER	R2617							Picoplankton	464	4087	5	9.48184	0.00948184	
Gjersjøen	170	08.08.2011	APHA KLE	R1559	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Aphanizomenon	Aphanizomenon flos-aquae var. klebahnii	2	100	1100	0.22	0.00022	Trichomes of 100 µm
Gjersjøen	170	08.08.2011	ANAB LEM	R2992	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum	Dolichospermum lemmermannii	390	100	132	5.148	0.005148	Anabaena
Gjersjøen	170	08.08.2011	APTH BAC	R3011	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Anathece	Anathece bachmannii	4500	2044	1	9.198	0.009198	
Gjersjøen	170	08.08.2011	CRYPTOM1	R1394	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas	23	2044	2000	94.024	0.094024	
Gjersjøen	170	08.08.2011	CRYPTOM2	R1394	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas	16	4087	500	32.696	0.032696	
Gjersjøen	170	08.08.2011	CRYPTOM3	R1394	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas	35	2044	1200	85.848	0.085848	
Gjersjøen	170	08.08.2011	CRYPTOM5	R1394	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas	6	2044	2700	33.1128	0.0331128	
Gjersjøen	170	08.08.2011	RHO LAC3	R2557	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Plagioselmis	Plagioselmis lacustris	49	4087	200	40.0526	0.0400526	Rhodomonas
Gjersjøen	170	08.08.2011	RHOD NAN	R2162	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Plagioselmis	Plagioselmis nannoplanctica	307	4087	150	188.20635	0.18820635	Rhodomonas
Gjersjøen	170	08.08.2011	FRAGILA4	R0238	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	Fragilaria	1	100	210	0.021	0.000021	
Gjersjøen	170	08.08.2011	TABE FLO	R0442	Chromista	Ochrophyta	Bacillariophyceae	Tabellariales	Tabellariaceae	Tabellaria	Tabellaria flocculosa	1	100	1400	0.14	0.00014	
Gjersjøen	170	08.08.2011	CYCLOTE3	R0053	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Cyclotella	Cyclotella	1	100	1250	0.125	0.000125	
Gjersjøen	170	08.08.2011	CYCLOTE5	R0053	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Cyclotella	Cyclotella	3	2044	500	3.066	0.003066	
Gjersjøen	170	08.08.2011	SMACHRYS	R1171	Chromista	Ochrophyta	Chrysophyceae				Chrysophyceae	72	4087	65	19.12716	0.01912716	
Gjersjøen	170	08.08.2011	STOCHRYS	R1171	Chromista	Ochrophyta	Chrysophyceae				Chrysophyceae	7	4087	325	9.297925	0.009297925	
Gjersjøen	170	08.08.2011	OCHROMOZ	R1120	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	Ochromonas	Ochromonas	3	4087	110	1.34871	0.00134871	
Gjersjøen	170	08.08.2011	PSEU TAE	R1052	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Pseudokephyrion	Pseudokephyrion taeniatum	1	4087	50	0.20435	0.00020435	
Gjersjøen	170	08.08.2011	BITR CHO	R1155	Chromista	Ochrophyta	Chrysophyceae	Hibberdiales	Stylococcaceae	Bitrichia	Bitrichia chodatii	4	2044	100	0.8176	0.0008176	
Gjersjøen	170	08.08.2011	PSEUPEDZ	R1154	Chromista	Ochrophyta	Dictyochophyceae	Pedinellales	Pedinellaceae	Pseudopedinella	Pseudopedinella	3	4087	110	1.34871	0.00134871	
Gjersjøen	170	08.08.2011	MALLOMOZ	R1109	Chromista	Ochrophyta	Synurophyceae	Synurales	Mallomonadaceae	Mallomonas	Mallomonas	4	2044	750	6.132	0.006132	
Gjersjøen	170	08.08.2011	MALL AKR	R1097	Chromista	Ochrophyta	Synurophyceae	Synurales	Mallomonadaceae	Mallomonas	Mallomonas akrokomos	8	4087	250	8.174	0.008174	
Gjersjøen	170	08.08.2011	MALL CAU	R1100	Chromista	Ochrophyta	Synurophyceae	Synurales	Mallomonadaceae	Mallomonas	Mallomonas caudata	2	100	3250	0.65	0.00065	
