ID	Lake	Date	Time	Latitude	Longitude	Fraksjon	diap.brac	limn.fron	sida.crys	holo.gibb	ceri.pulc	ceri.quad	daph.cris	daph.cucu	daph.gale	daph.lonr	daph.lons	scap.mucr	bosm.core	bosm.lonr	bosm.lons	alon.inte	alon.exci	alon.nana	alon.elon	chyd.pige	chyd.spha	pleu.trig	poly.pedi	byth.long	lept.kind	limn.macr	acan.dent	eudi.ilis	eudi.ides	arct.lati	mixo.laci	eury.lacu	hete.appe	hete.sali	macr.albi	eucy.serr	cycl.abys	cycl.boha	cycl.lacu	cycl.scut	cycl.vici	mega.giga	mega.viri	diac.bicu	meso.leuc	ther.cras	ther.oith
170	Gjersjøen	08.08.2011	14:00	59.78970	10.77485	0.02	1	750	0	0	0	0	0	0	0	0	800	0	1	0	1100	0	0	0	0	0	0	0	0	0	1	0	0	1750	0	0	0	0	250	0	0	0	0	0	0	1100	0	0	0	0	1	0	1100
180	Øgderen	29.07.2011	16:38	59.71388	11.41303	0.002	0	1	0	0	0	0	27500	2000	0	0	0	0	1500	0	2000	0	0	0	0	0	10500	0	0	0	1	1	0	13000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	15500	0	20000
189	Krøderen	28.07.2011	16:20	60.13485	9.75860	0.02	0	0	1	50	0	1	5100	0	1300	0	0	0	0	1	1050	0	1	0	0	0	0	0	1	1	1	0	0	0	0	50	0	0	150	0	0	0	0	0	0	1050	0	0	0	0	50	0	0
191	Rødbyvatnet	09.08.2011	15:00	59.58175	10.48715	0.1	0	0	0	0	190	0	1	3250	0	0	0	0	100	0	140	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	10	0	10
194	Sperillen	28.07.2011	15:15	60.50398	10.05837		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	Gjesåssjøen	30.07.2011	11:26	60.68167	11.99235	0.01	100	300	0	0	0	0	1100	6300	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2800	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2400	0	900
233	Osensjøen	27.07.2011	16:50	61.17583	11.88767	0.01	0	0	0	100	0	0	800	0	500	0	1	0	0	0	2000	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	14600	0	0	0	0	0	0	0
236	Rokossjøen	30.07.2011	13:10	60.78693	11.44073	0.05	200	140	0	0	0	0	1260	0	0	0	0	0	0	0	320	0	0	1	0	0	0	0	0	0	1	0	0	560	0	0	0	0	1	0	0	0	0	0	0	240	0	0	0	0	400	0	560
242	Sør Mesna	28.07.2011	09:45	61.07640	10.80002	0.005	0	0	0	0	0	0	7400	0	0	0	0	0	0	5200	8000	0	0	0	0	0	0	0	0	0	1	0	0	1800	0	0	0	0	1	0	1	0	0	0	0	8200	0	0	0	0	0	0	0
252	Vermundsjøen	30.07.2011	15:32	60.69507	12.38702	0.01	300	200	0	0	0	0	8700	0	0	0	1	0	0	0	1300	0	0	0	0	0	0	0	0	0	1	0	0	5700	0	0	0	0	1	0	0	0	0	0	0	1600	0	0	0	0	1	0	600
