"ID" "Lake" "Latitude" "Longitude" "Altitude" "Area.km2" "bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
"1" 170 "Gjersjøen" 59.7897 10.77485 40 2.64 59 66 24 7405 208 -67 275 111 1 157 -34 766 90 38 27 259 128 233 146
"2" 180 "Øgderen" 59.71388 11.41303 133 12.66 52 66 23 7436 201 -76 277 105 -7 150 -42 805 90 42 25 264 135 242 160
"3" 189 "Krøderen" 60.13485 9.7586 133 43.91 46 80 26 7949 210 -94 304 136 -10 148 -57 703 89 32 32 245 105 232 125
"4" 191 "Rødbyvatnet" 59.58175 10.48715 118 1.16 61 60 22 7123 202 -60 262 113 2 155 -28 756 88 38 26 255 131 224 146
"5" 194 "Sperillen" 60.50398333 10.05836667 150 37.28 44 82 26 8164 213 -100 313 135 -12 149 -62 683 89 29 34 247 96 236 118
"6" 214 "Gjesåssjøen" 60.68167 11.99235 176 3.98 40 76 25 7936 201 -99 300 129 -52 143 -62 659 82 29 34 238 96 234 111
"7" 233 "Osensjøen" 61.17583 11.88767 438 43.64 22 77 25 8058 186 -120 306 126 -72 126 -82 616 86 25 40 241 83 241 96
"8" 236 "Rokossjøen" 60.78693 11.44073 215 3.77 36 76 25 8042 200 -104 304 126 -23 140 -68 644 82 29 35 237 93 233 107
"9" 242 "Sør Mesna" 61.0764 10.80002 522 6.93 19 79 25 8084 186 -123 309 110 -39 124 -85 620 86 26 40 242 84 241 98
"10" 252 "Vermundsjøen" 60.69507 12.38702 215 3.34 38 76 25 7907 198 -101 299 127 -54 140 -64 663 83 29 34 239 97 236 113
"11" 258 "Gjønvatnet" 60.26967 5.84095 40 2.89 58 53 27 5072 163 -29 192 32 79 124 -3 2510 306 113 32 882 392 507 719
"12" 261 "Kalandsvatnet" 60.27088 5.40217 53 3.37 71 52 28 4822 172 -11 183 78 90 134 13 2168 270 102 31 773 346 456 575
"13" 264 "Myrkdalsvatnet" 60.81172 6.47093 229 1.56 41 58 28 5364 155 -52 207 13 63 112 -24 2190 275 97 33 780 334 432 648
"14" 277 "Engsetdalsvatnet" 62.53333 6.63278 43 4.4 65 43 27 4217 152 -4 156 47 77 120 16 1595 197 72 33 567 247 285 473
"15" 285 "Rotevatnet" 62.14053 6.11847 47 1.4 61 44 27 4192 149 -9 158 43 72 116 12 1984 251 87 34 713 305 350 597
"16" 288 "Vatnevatnet" 62.15305 6.22862 90 2.05 62 45 27 4244 151 -10 161 43 73 117 12 1898 239 83 34 686 287 333 574
"17" 326 "Einavatnet" 60.53813 10.653 398 13.74 28 78 25 7997 194 -110 304 118 -30 133 -74 715 92 34 32 257 108 251 126
"18" 328 "Randsfjorden" 60.72303 10.26765 135 140.09 40 82 26 8169 209 -104 313 131 -16 145 -66 654 86 28 36 242 91 234 110
"19" 339 "Ringsjøen" 60.8824 10.35465 378 1.22 20 82 26 8086 189 -122 311 111 -37 125 -84 671 90 30 37 252 95 249 112
"20" 340 "Sæbufjorden" 61.01255 9.21507 379 1.53 8 87 27 8037 179 -138 317 99 -47 112 -96 672 88 30 35 246 94 243 118
"21" 344 "Strondafjorden" 60.97753 9.24863 355 13.36 22 91 27 8327 198 -130 328 115 -31 129 -87 624 82 27 37 231 83 227 105
"22" 345 "Trevatna" 60.63883 10.43533 384 4.8 28 80 25 8047 195 -113 308 118 -30 132 -76 694 91 32 34 254 101 249 120
"23" 349 "Bogstadvannet" 59.97052 10.61845 145 1.09 50 71 24 7605 206 -80 286 137 -7 150 -46 768 93 38 28 259 125 244 144
"24" 353 "Aspern" 59.14713 11.68437 106 6.59 59 62 24 6995 197 -61 258 111 1 151 -28 805 91 42 25 262 134 234 166
"25" 361 "Rødenessjøen" 59.53198 11.62597 118 15.95 56 65 23 7298 201 -70 271 108 -4 152 -36 792 88 41 26 260 131 237 158
"26" 363 "Rømsjøen" 59.70107 11.8438 138 13.66 51 68 24 7425 200 -78 278 103 -8 148 -43 783 88 40 26 256 129 240 153
"27" 374 "Edlandsvatnet" 58.76263 5.8705 104 2.11 65 43 23 5036 161 -22 183 75 83 130 4 1588 194 76 32 566 249 354 406
"28" 378 "Hetlandsvatn" 59.17518 6.10917 48 2.06 61 47 24 5229 163 -29 192 37 81 129 -3 1872 228 87 32 663 284 393 519
"29" 380 "Lutsivatn" 58.86005 5.84783 25 2.83 69 43 23 5049 165 -18 183 79 88 134 7 1544 191 73 32 556 241 345 392
"30" 394 "Vatsvatnet" 59.52667 5.70417 15 2.17 64 46 25 4957 162 -20 182 73 83 129 5 1851 227 88 32 650 285 395 500
"31" 395 "Vostervatnet" 59.09575 5.97535 54 2.66 68 46 24 5134 167 -20 187 78 88 134 6 1701 210 79 33 606 261 367 453
"32" 404 "Jølstravatnet" 61.55793 6.40045 207 39.25 51 53 28 4817 153 -32 185 27 69 115 -7 1976 253 85 35 717 291 360 600
"33" 405 "Oppstrynvatnet" 61.91457 7.07673 29 22.97 42 57 28 5104 152 -46 198 14 64 110 -19 1346 169 61 32 472 199 259 408
"34" 433 "Bandak" 59.40163 8.23 72 26.67 42 65 25 6531 178 -74 252 93 -13 127 -39 892 106 42 29 310 139 255 185
"35" 436 "Grungevatnet" 59.70705 7.75917 540 1.62 12 64 25 6443 147 -102 249 64 -45 96 -67 1113 126 52 25 365 189 296 266
"36" 453 "Vinjevatn" 59.6123 7.85217 466 3.23 25 65 25 6494 161 -90 251 77 -31 110 -55 1009 116 47 27 341 165 276 229
"37" 481 "Åsrumvatnet" 59.16333 10.05777 7 1.14 70 53 21 6675 199 -42 241 122 11 157 -12 733 88 37 26 247 131 205 145
"38" 482 "Bergsvannet" 59.5884 10.05265 36 3.01 55 64 23 7198 199 -68 267 108 -3 150 -35 750 89 37 27 253 126 227 143
"39" 486 "Goksjø" 59.1725 10.165 28 3.4 70 53 22 6688 198 -42 240 122 11 158 -12 731 88 37 26 247 132 205 143
"40" 487 "Hallevatnet" 59.02527 9.90917 48 3.66 68 54 22 6564 196 -43 239 120 10 154 -12 754 90 39 26 253 134 210 152
"41" 498 "Dagarn" 59.90368 15.70288 130 1.67 51 84 27 7613 217 -89 306 138 -9 152 -44 665 81 34 27 230 109 219 135
"42" 519 "Langen" 59.59112 18.52145 28 1.38 62 65 23 7286 213 -59 272 149 2 160 -26 523 63 25 30 181 83 165 114
"43" 2252 "Rotnessjøen" 60.4969 12.3412 260 1.09 35 75 25 7823 194 -102 296 124 -56 137 -65 702 85 32 31 246 108 243 124
