Rubin.code	Unit.size
ATTH ZAC	1
ACHN MIN	1
APTH BAC	100
APTH CLA	100
APTH MIN	100
APTH SMI	100
ANISONEM	1
ANKI FUS	1
ANKYRASP	1
ANKY JUD	1
ANKY LAN	1
APHANIZZ	1
APHA KLE	1
APHA GRA	1
APHANOCZ	100
APHA CON	100
APHA DEL	100
APHA ELA	100
APHA PAR	100
APTHECEZ	100
ASTE FOR	8
ASTE LIM	1
AULACOSZ	8
AULA ALP	2
AULA AMB	10
AULA DIS	2
AULA GRA	10
AULA ISL	9
AULA ITA	10
AULA ITT	10
AULO PUR	1
BICO MIT	1
BICO PLA	1
BITR CHO	1
BITR LON	1
BITR PHA	1
BOTR BRA	1
BOTR PRO	1
CARTERI2	1
CENT BEL	1
CERA FUR	1
CERA HIR	1
CHILOMOZ	1
CHLAMYD1	1
CHLAMYD2	1
CHLAMYD3	1
CHLAMYD4	1
CHLAMYD6	1
CHLAMYD7	1
CHLAMYDZ	1
UBESTBGR	1
COCCOI10	1
COCCOID3	10
COCCOID5	10
COCCOID6	10
COCCOID7	1
COCCOID8	1
COCCOID9	1
UBESTELI	1
CRASPEDO	1
CHROMUL	1
CHROMUL2	1
CHROMULZ	1
COCCCYA1	50
COCCOCYA	50
CHRO MIN	1
CRYPTOM4	1
CHRYSAMO	1
CHRYS AM	1
CHRD CAT	1
CHRS PAR	1
CHRCOCCZ	1
CHRYCOCZ	1
CHRC COR	1
CHRC RUF	1
CHRK PLA	1
CHRY PLA	1
CHRK SKU	1
SMACHRYS	1
STOCHRYS	1
CHRP LON	1
CHYS LON	1
CLST ACI	1
CLOS ACA	1
CLOS ACV	1
CLOS GRA	1
CLOS PRO	1
COEL AST	1
COEL MIC	1
COEL SPH	1
COEL KUT	50
EUTE FOT	1
COLA SIM	1
COSMARI1	1
COSMARI3	1
COSM ABB	1
COSM BIO	1
COSMBIOD	1
COSM BLY	1
COSM CON	1
COSM DEP	1
COSM DPL	1
COSM HUM	1
COSM IMP	1
COSM MEN	1
COSM PHA	1
COSM PUN	1
COSM REN	1
COSM SUT	1
COSM SAX	1
CRUC TET	1
CRUL API	1
CRUL CRU	1
CRUL REC	1
CRYX VUL	1
CRYPTO11	1
CRYPTOM1	1
CRYPTOM2	1
CRYPTOM3	1
CRYPTOM5	1
CRYPTOM6	1
CRYPTOM7	1
CRYPTOM8	1
CRYPTOM9	1
CYANOBA2	1
CYANOBAX	1
CYCLOTE3	1
CYCLOTE4	1
CYCLOTE5	1
CYCLOTE6	1
CYCLOTEZ	1
DICT PUL	16
DICT TEM	8
DIMO LUN	1
DINOBRYZ	1
LOSEDINO	1
DINO BAV	10
DINO BVV	10
DINO BOR	1
DINO CRE	1
DINO CYL	10
DINO CYP	10
DINO DIL	1
DINO DIV	10
DINO DIS	12
DINO HIL	1
DINO KOR	1
DINO SER	1
DINO SOC	9
DINO SOA	12
DINO SUL	1
UBESTDI2	1
ANABAENA	100
ANABAENZ	100
ANABAENC	300
ANAB CRA	100
ANAB FLO	300
ANAB LEM	300
ANAB MAC	100
ANAB PLA	100
ANABAENS	100
ANAB VIG	100
ELAK GL2	1
ELAK GEN	1
ELAK VIR	1
EPIPYXIZ	1
EPIP POL	1
EUAS BID	1
EUAS DEN	1
EUAS ELE	1
EUAS INS	1
EUDO ELE	1
EUGLENA1	1
EUGLENA2	1
EUGLENA3	1
EUGL OXY	1
EUGL PRO	1
EUNOTIAZ	1
EUNO ZAS	8
FRAGILA1	1
FRAGILA4	1
FRAGILAZ	1
FRAG CRO	25
FRAG NAN	1
FRAN DRO	1
FRAN OVA	1
GEIT SPL	1
GLOEOTIZ	1
GLOT SUB	1
GOMP APO	1
CYAT TRU	1
GONY SEM	1
GYMNOD12	1
GYMNOD30	1
GYMNODI1	1
GYMNODI2	1
GYMNODI3	1
GYMNODI5	1
GYMNODI8	1
GYMNODI9	1
GYMN FUS	1
GYMN HEL	1
GYRO COR	1
HARI POL	1
UBESTFF1	1
KATA OVA	1
KATODINZ	1
KEPHYRI1	1
KEPHYRIZ	1
KEPH BOR	1
KEPH LIT	1
KEPH OVA	1
KERA SUE	1
KIRC OBE	1
STIC SUB	1
STIS SUB	1
KOLI LON	1
LAGE CIL	1
LAGE GEN	1
LEPTOLZ	1
LIMN RED	1
LIMN VAC	1
MALLOMO2	1
MALLOMOZ	1
MALL AKR	1
MALL ALL	1
MALL CAU	1
MALL CRA	1
MALL REG	1
MALL TON	1
MERD CIR	1
MERI PUN	1
MERI TEN	1
MICR AER	300
MICR FLO	300
MICR SMI	50
MICR WES	50
MONO CON	1
MONO DYB	1
MONO GRI	1
MONO MIN	1
MONOSIGA	1
MOUGEOT2	1
MOUGEOT4	1
NEPH AGA	1
NEPH LIM	1
NITZSCH1	1
NITZSCH2	1
NITZSCH3	1
NITZ PAL	1
NITZ VER	1
OCHROMO3	1
OCHROMOZ	1
OCTA BIF	1
ARTH OCT	1
OOCY BOR	1
OOCY LAC	1
OOCY MAR	1
OOCY PAR	1
OOCY RHO	1
PAND MOR	1
PARA CON	1
PAUL PSE	1
PEDI BOR	1
PEDI DUP	1
PEDI DUG	1
PEDI PRI	1
PEDI TET	1
PERI EDA	1
PERI ELP	1
PERI PEN	1
PERI POL	1
PERIDI25	1
PERIDIN4	1
PERIDIN5	1
PERIDINZ	1
PERI UMB	1
PERI GOS	1
PERI WIL	1
PHAC PLE	1
PHAC TOR	1
UBESTAXX	1
MY-ALGER	1
RHO LAC3	1
RHOD NAN	1
PLAL CON	1
PLAN LIM	1
PLAN GEL	1
PLAN AGA	1
PLAN MOU	1
PLAN RUB	1
POLYTOMZ	1
POLY GRA	1
PSEA LIM	15
PSED LIM	15
GONI FAL	1
GONI SMI	1
PSEUDKEZ	1
PSEU ALA	1
PSEU TAE	1
PSEUPEDZ	1
QUAD CLO	4
QUAD PFI	4
RADI PLA	8
RADI GEM	50
RHAB GLO	8
ROME GRA	10
ROME LEO	10
SALP VAR	1
SCENEDEX	1
SCEN ABU	1
SCEN ACL	1
SCEN ACT	1
SCEN API	1
SCEN ARC	1
SCEN ARM	1
SCEN BIL	1
SCEN BRE	1
SCEN DEN	1
SCEN OBL	1
SCEN DIS	1
SCEN ECO	1
SCEN OBT	1
SCEN OPO	1
SCEN QUA	1
SCEN SUB	1
SCHR SET	1
SCOURFIZ	1
SCOU COM	1
SCOU COR	1
SELE BIB	1
SNOW LAC	50
SNOW LIT	50
SNOW SER	50
SPHA SCH	8
SPINIFEZ	1
SPON PLA	8
STAURASZ	1
STAU ALT	1
STAU ANA	1
STAU ARA	1
STAU CHA	1
STAU CIN	1
STAU CIO	1
STAU LON	1
STAU LUN	1
STAU PAR	1
STAU PAP	1
STAU PIN	1
STAU PLA	1
STAU PSE	1
STAU SEX	1
STAU TEL	1
STAU TET	1
STAURDEZ	1
STAD AVE	1
STA CRAS	1
STA CUS	1
STAD DAP	1
STAD EXT	1
STAD INC	1
STAD INR	1
STAD LEP	1
STAD MAL	1
STAD MES	1
STAD SEL	1
STAD TRI	1
STAD VAL	1
STEL DIC	1
STEPHANZ	1
STEP HAN	1
STEP HAP	1
STIC BAC	1
STIC DOE	1
SYNURA 1	1
SYNURA 2	1
SYNURASP	1
TABE FEN	12
TABE FLO	5
TABE FLA	8
TABE FLT	25
TEIL GRA	8
TELONEMA	1
TELONEM2	1
TETR MIN	1
TETS KOM	1
TETS STA	1
WOLO COR	1
TRAC BER	1
TRAC HIS	1
TRAC OBL	1
TRAC PLA	1
TRAC RUG	1
TRAC VOL	1
TRAC VOP	1
TREB SCH	1
FRAG UAC	1
FRAG UAN	1
FRAG UUL	1
UROG AME	1
RHIZOSZZ	1
RHIZ ERI	1
RHIZ LON	1
WORO COM	100
WORO NAE	100
XANT ANT	1
